orderid,customerid,productid,quantity,orderdate,status
1,1,1,1,2025-01-05,completed
2,1,9,2,2025-01-12,completed
3,2,5,1,2025-01-15,completed
4,3,15,1,2025-01-20,cancelled
5,4,2,3,2025-02-02,completed
6,5,10,1,2025-02-05,completed
7,2,3,1,2025-02-10,completed
8,6,18,2,2025-02-14,completed
9,7,13,1,2025-02-18,completed
10,1,20,1,2025-03-01,completed
11,8,6,1,2025-03-04,cancelled
12,9,11,2,2025-03-08,completed
13,3,4,1,2025-03-11,completed
14,10,19,3,2025-03-15,completed
15,5,14,1,2025-03-20,completed
16,4,7,1,2025-04-02,completed
17,2,16,1,2025-04-05,completed
18,6,8,2,2025-04-09,completed
19,7,12,1,2025-04-14,completed
20,1,17,1,2025-04-18,completed
