paymentid,orderid,paymentmethod,amount,paymentdate,paymentstatus
1,1,credit_card,109.95,2025-01-05,success
2,2,paypal,128.00,2025-01-12,success
3,3,credit_card,695.00,2025-01-15,success
4,5,debit_card,66.90,2025-02-02,success
5,6,credit_card,109.00,2025-02-05,success
6,7,paypal,55.99,2025-02-10,success
7,8,credit_card,19.70,2025-02-14,success
8,9,debit_card,999.99,2025-02-18,success
9,10,credit_card,12.99,2025-03-01,success
10,12,paypal,218.00,2025-03-08,success
11,13,credit_card,15.99,2025-03-11,success
12,14,debit_card,23.85,2025-03-15,success
13,15,credit_card,999.99,2025-03-20,success
14,16,paypal,9.65,2025-04-02,success
15,17,credit_card,29.95,2025-04-05,success
16,18,debit_card,21.98,2025-04-09,success
17,19,credit_card,114.00,2025-04-14,success
18,20,paypal,39.99,2025-04-18,success
